year,month,branch_id,hours_diff,salary,salary_per_hour
2019,8,1,127.36666666666667,21500000,168803.97801622612
2019,9,1,1600.9563888888888,154500000,96504.814917055657
2019,10,1,6403.18,188500000,29438.49774643224
2019,11,1,5911.6666666666661,181000000,30617.423174513675
2019,12,1,5663.8341666666665,188500000,33281.341658867423
2020,1,1,6242.8802777777782,188500000,30194.39611408
2020,2,1,5661.4683333333332,188500000,33295.249377296408
2020,3,1,6765.615,178500000,26383.410820745787
2020,4,1,7557.3672222222222,188500000,24942.548702109
2020,5,1,5860.4722222222226,188500000,32164.643539343149
2020,6,1,7159.416666666667,188500000,26328.960692793873
2020,7,1,7947.9333333333334,188500000,23716.857212357092
2020,8,1,7185.7591666666667,188500000,26232.440529654079
2020,9,1,8766.3275,188500000,21502.733042998909
2020,10,1,8078.2763888888885,188500000,23334.185527406407
2020,11,1,8283.5605555555558,174500000,21065.820528464377
2020,12,1,4937.2155555555555,174500000,35343.808273399263
2019,8,2,174.66944444444445,36000000,206103.59250011927
2019,9,2,548.44638888888881,50000000,91166.613570555623
2019,10,2,1281.9447222222223,64500000,50314.1819470895
2019,11,2,1416.4369444444444,51000000,36005.838593826884
2019,12,2,1091.2025,51000000,46737.429578836185
2020,1,2,1187.241111111111,51000000,42956.733491371691
2020,2,2,1216.6202777777778,51000000,41919.406516184521
2020,3,2,1392.5141666666666,51000000,36624.402983332904
2020,4,2,1521.5647222222224,51000000,33518.127264093811
2020,5,2,1276.5272222222222,51000000,39952.144468347062
2020,6,2,1785.0616666666667,56500000,31651.567592902953
2020,7,2,2023.381388888889,65500000,32371.554052876007
2020,8,2,1686.9802777777777,65500000,38826.772821720071
2020,9,2,1853.5694444444443,65500000,35337.22472406843
2020,10,2,1644.2119444444445,65500000,39836.713400188506
2020,11,2,1729.0716666666667,65500000,37881.5992782254
2020,12,2,1270.1763888888888,65500000,51567.640977248353
2019,8,3,17.996944444444445,13000000,722344.842488694
2019,9,3,162.56722222222223,47000000,289111.17110528634
2019,10,3,1045.9972222222223,59500000,56883.516261727906
2019,11,3,914.73555555555561,72000000,78711.2729604913
2019,12,3,917.36388888888894,62500000,68129.998092360052
2020,1,3,907.70388888888886,62500000,68855.05368552031
2020,2,3,696.93805555555559,51000000,73177.235183901648
2020,3,3,805.18527777777786,48000000,59613.608600091
2020,4,3,952.85583333333329,48000000,50374.881824550233
2020,5,3,659.69972222222214,39000000,59117.805702005004
2020,6,3,701.18916666666667,39000000,55619.79827127012
2020,7,3,636.4,31500000,49497.171590194848
2020,8,3,711.58305555555557,37500000,52699.399890463319
2020,9,3,826.93333333333339,37500000,45348.274750080614
2020,10,3,694.26666666666665,37500000,54013.8275398502
2020,11,3,768.23333333333335,37500000,48813.29457196164
2020,12,3,534.33333333333337,37500000,70180.9107922645
2019,9,2590,312.61944444444441,70000000,223914.41493473609
2019,10,2590,1732.6202777777778,70000000,40401.235572390113
2019,11,2590,1471.2705555555556,70000000,47577.924900133556
2019,12,2590,1463.3433333333332,70000000,47835.663993184557
2020,1,2590,1523.4561111111111,70000000,45948.156621949871
2020,2,2590,1467.2694444444444,70000000,47707.665599554733
2020,3,2590,1422.78,80000000,56227.948101603906
2020,4,2590,1328.0380555555557,69500000,52332.8376843284
2020,5,2590,1284.8375,69500000,54092.443596952915
2020,6,2590,1625.8980555555554,80000000,49203.57689502537
2020,7,2590,1856.5644444444445,80000000,43090.343693369112
2020,8,2590,1715.8286111111111,80000000,46624.703354372192
2020,9,2590,1817.5286111111111,80000000,44015.813292255982
2020,10,2590,1652.9797222222223,80000000,48397.447908465634
2020,11,2590,1271.4497222222221,80000000,62920.301606717971
2020,12,2590,894.3172222222222,80000000,89453.717329980471
2019,9,2623,565.55166666666673,96500000,170629.85698329948
2019,10,2623,3421.4180555555554,107500000,31419.720786662128
2019,11,2623,3162.8650000000002,107500000,33988.1721161036
2019,12,2623,2987.1363888888891,107500000,35987.643684387062
2020,1,2623,3169.278888888889,107500000,33919.387901418864
2020,2,2623,2962.3816666666667,107500000,36288.369324456842
2020,3,2623,3144.1402777777776,107500000,34190.586456905505
2020,4,2623,2722.4894444444444,107500000,39485.919851541104
2020,5,2623,2583.2766666666666,107500000,41613.816044997118
2020,6,2623,3335.0008333333335,143500000,43028.475005378554
2020,7,2623,4033.7288888888888,137500000,34087.566067900778
2020,8,2623,3795.3594444444443,132500000,34911.054391422746
2020,9,2623,4135.182777777778,132500000,32042.114489363561
2020,10,2623,3511.895,125000000,35593.319276345108
2020,11,2623,2519.036111111111,125000000,49622.154858615453
2020,12,2623,1471.7541666666666,125000000,84932.662554038412
2019,9,2625,114.28166666666667,32500000,284385.071971299
2019,10,2625,769.97638888888889,32500000,42209.0864979626
2019,11,2625,702.53527777777776,32500000,46261.022083904842
2019,12,2625,684.98666666666668,32500000,47446.179001051118
2020,1,2625,727.18611111111113,32500000,44692.822791047685
2020,2,2625,715.31611111111113,32500000,45434.458269809227
2020,3,2625,937.76777777777772,38500000,41054.940159314494
2020,4,2625,1046.3080555555557,38500000,36796.046628502489
2020,5,2625,964.7452777777778,38500000,39906.906918147361
2020,6,2625,974.37,38500000,39512.710777220149
2020,7,2625,930.73444444444442,38500000,41365.182335097372
2020,8,2625,872.72,38500000,44114.950957924651
2020,9,2625,895.34916666666663,38500000,42999.984177495004
2020,10,2625,955.24583333333328,38500000,40303.761248195275
2020,11,2625,783.85388888888883,38500000,49116.296475321011
2020,12,2625,548.8925,38500000,70141.238949338891
2019,9,2626,208.17277777777778,41500000,199353.63520152864
